works_uftm,citacoes_uftm,orcid,autor,h_index,i10
66,4029,https://orcid.org/0000-0002-5896-9274,Eliane Lages-Silva,20,32
214,3793,https://orcid.org/0000-0001-8706-4223,Virmondes Rodrigues,34,127
175,3642,https://orcid.org/0000-0002-8594-7636,Marlene Antônia dos Reis,26,53
78,2968,,Áluízio Prata,31,91
107,2590,https://orcid.org/0000-0003-1020-2119,Mário León Silva-Vergara,23,43
164,2551,https://orcid.org/0000-0003-4014-1345,Eddie Fernando Cândido Murta,32,113
173,2356,https://orcid.org/0000-0002-2966-7621,Marcos Silva,33,124
191,2194,https://orcid.org/0000-0001-9565-0476,Darlene Mara dos Santos Tavares,25,82
88,2167,https://orcid.org/0000-0002-9084-7189,Sheila Jorge Adad,27,72
155,2016,https://orcid.org/0000-0003-2211-7333,Carlo José Freire Oliveira,28,74
91,1993,https://orcid.org/0000-0002-2174-5058,Dalmo Correia,25,56
107,1951,https://orcid.org/0000-0002-2083-4104,Jeffer Eidi Sasaki,30,73
150,1915,https://orcid.org/0000-0002-6109-0658,Gustavo Ribeiro Da Mota,30,60
117,1714,https://orcid.org/0000-0001-7299-3724,Siomar de Castro Soares,30,90
94,1410,https://orcid.org/0000-0002-8673-7788,Juliana Reis Machado,20,39
91,1377,https://orcid.org/0000-0003-2124-3450,Rogério Valentim Gelamo,24,51
34,1360,https://orcid.org/0000-0002-9454-2403,Lauro Osiro,15,18
126,1316,https://orcid.org/0000-0001-9431-7727,Vicente de Paula Antunes Teixeira,17,34
154,1310,https://orcid.org/0000-0003-2749-2802,Maria Helena Barbosa,22,43
95,1199,https://orcid.org/0000-0001-7602-1789,Jair Sindra Virtuoso Júnior,21,39
159,1180,https://orcid.org/0000-0001-6281-3371,Fabio Scorsolini‐Comin,25,82
97,1174,https://orcid.org/0000-0002-6258-2646,Fábio Lera Orsatti,22,45
59,1173,https://orcid.org/0000-0003-4003-542X,Denise Bertulucci Rocha-Rodrigues,21,44
37,1172,https://orcid.org/0000-0002-9342-0850,Beatriz Martins Tavares‐Murta,18,24
81,1141,https://orcid.org/0000-0002-9149-6368,Gilberto De Araújo Pereira,19,35
82,1109,https://orcid.org/0000-0001-8743-0123,Vanderlei José Haas,28,60
85,1086,https://orcid.org/0000-0003-2161-2404,Rosana Rosa Miranda Côrrea,15,23
48,1056,https://orcid.org/0000-0001-6548-4243,Acir Mário Karwoski,8,7
27,1015,https://orcid.org/0000-0002-1999-4338,Luís Carlos de Morais,15,19
61,965,https://orcid.org/0000-0002-0036-5750,Geoffroy Roger Pointer Malpass,29,44
97,951,https://orcid.org/0000-0001-8049-348X,Helio Moraes‐Souza,18,37
63,946,https://orcid.org/0000-0001-9421-1519,Sheilla Tribess,19,30
63,944,https://orcid.org/0000-0003-4699-9481,Pedro I. S. Maia,24,48
77,916,https://orcid.org/0000-0003-0842-8805,Márcia Antoniazi Michelin,19,41
36,911,https://orcid.org/0000-0002-6035-8392,Kennio Ferreira‐Paim,22,30
60,898,https://orcid.org/0000-0002-2241-5966,Renata Margarida Etchebehere,16,30
30,894,https://orcid.org/0000-0002-2604-6504,Beatriz Gaydeczka,5,3
60,887,https://orcid.org/0000-0003-2268-3589,Joilson Meneguci,15,24
21,881,https://orcid.org/0000-0002-2176-7177,Rafaela C. Sanfelice,18,25
13,872,https://orcid.org/0000-0002-6156-3144,Cristina Ribeiro de Barros Cardoso,36,71
45,863,https://orcid.org/0000-0003-1950-1895,Javier Emílio Lazo Chica,21,32
46,855,https://orcid.org/0000-0001-9837-3216,Jéferson Aparecido Moreto,20,33
42,850,https://orcid.org/0000-0001-5913-3703,Alexandre de Paula Rogério,22,32
58,841,https://orcid.org/0000-0002-4356-4557,Lúcia Marina Scatena,22,41
92,827,https://orcid.org/0000-0001-7764-032X,Elizabeth Barichello,14,21
48,785,https://orcid.org/0000-0002-2754-4847,Thiago da Silva Marinho,22,36
111,783,https://orcid.org/0000-0002-6914-7225,Gustavo José Luvizutto,21,41
42,781,https://orcid.org/0000-0001-9121-3076,José R. Siqueira,24,38
28,752,,Vicente P. A. Teixeira,18,25
61,717,https://orcid.org/0000-0001-6591-7619,Rosekeila Simões Nomelini,16,31
